k m1-monopole m1-quadrupole m2-monopole m2-quadrupole m3-monopole m3-quadrupole m4-monopole m4-quadrupole
1.5425107 37.093301 -0.52474106 43.968592 2.1568974 43.885507 13.312003 -24.388738 76.832814
1.548784 36.681958 -0.96449716 43.73785 4.010223 44.256179 19.128716 -37.238162 71.09657
1.5550731 36.330643 -1.294199 43.020913 3.7606787 42.260123 16.746573 -40.617404 99.672355
1.5613573 34.849503 -0.4254867 42.97169 3.5228148 44.829368 12.568946 -41.463285 59.640116
1.5676291 35.627854 -1.8092402 42.165415 2.0600086 42.168822 15.081559 -36.703311 76.217181
1.5739137 35.2345 -1.3191386 41.806053 2.4365017 41.586836 12.721431 -35.532224 75.251839
1.5802035 34.598621 -0.97150016 41.621216 2.4744902 40.538217 15.286257 -37.328612 71.955127
1.5864854 34.606899 -1.344227 41.199935 2.0430406 41.63608 15.491432 -33.59997 83.51045
1.59276 34.007263 -1.3054785 41.006987 1.8356716 38.623527 16.890886 -38.564934 74.60162
1.5990464 33.15002 -1.0122609 41.163948 3.7465992 38.832176 13.437427 -37.054806 75.501581
1.6053421 33.70305 -1.7537215 39.669338 3.2556352 39.27173 13.723242 -38.973931 51.638289
1.6116199 34.041978 -1.4755152 40.016383 0.92161864 39.233727 12.503219 -34.739044 82.840737
1.6178976 33.710546 -1.2641373 39.79167 1.7607125 35.56317 13.054915 -40.593438 78.848227
1.6241832 32.117017 -1.4430513 38.758412 2.7468423 37.785721 13.528377 -34.911399 77.308971
1.6304646 33.023022 -2.0004404 38.022947 3.4787445 34.549639 13.85508 -39.594447 76.24564
1.636749 32.529377 -1.65257 37.814193 2.9289265 38.673397 9.6455793 -33.863985 74.655156
1.6430309 32.662976 -1.4191558 38.198596 0.91449502 35.91735 10.737981 -30.217968 68.459403
1.6493092 32.308721 -0.24981677 37.480393 1.7758981 35.81563 15.316977 -35.450012 93.490301
1.6555936 31.452852 -1.040733 36.987937 0.86276968 33.294886 17.67855 -42.970508 77.908002
1.6618796 31.749257 -1.8104586 37.117359 1.4238825 32.244988 14.725499 -37.872743 75.491368
1.6681694 30.747139 -2.2629314 36.607304 1.7568737 32.720291 15.928289 -34.602242 75.782997
1.6744502 30.855538 -3.4479022 36.123382 3.8012304 34.529168 10.991422 -33.385263 70.504991
1.6807227 30.709061 -1.8616659 36.16178 1.9470998 31.119024 14.920218 -37.537462 73.829146
1.6870139 30.754407 -2.7172168 36.217774 0.62981234 32.208575 10.593213 -34.240925 62.205981
1.693309 30.834646 -1.1529927 34.690315 1.9519688 30.27165 11.244247 -33.080053 74.478759
1.6995821 30.483692 -2.1470025 35.241651 2.59176 29.884878 12.980244 -31.143843 55.204958
1.7058637 29.680778 -2.3391845 34.195447 1.5055265 31.469774 8.5079981 -33.573948 86.836497
1.7121544 29.487337 -1.4711655 34.494358 0.71917354 31.914048 8.1816176 -37.146156 77.315976
1.7184384 29.319236 -1.9660721 33.994667 1.2234167 27.932382 12.430941 -37.388773 68.879381
1.7247213 29.328281 -2.3386428 34.01816 0.46738182 28.086457 17.201587 -31.483251 63.755201
1.7309974 28.847837 -1.9077885 33.448128 0.17372972 27.760011 10.037434 -30.323118 64.965823
1.7372871 28.572156 -1.4747217 32.876775 0.44362805 28.664428 11.442963 -30.616716 44.316973
1.743568 28.580712 -1.5420239 33.436297 0.73798547 28.444061 8.2764233 -28.082392 75.988503
1.7498407 29.091144 -3.0370735 32.881325 0.65238296 27.8966 11.958267 -33.351118 78.11167
1.7561285 28.504248 -2.6304845 32.070153 0.54578966 27.025642 10.400018 -32.27086 57.288656
1.7624135 28.595479 -2.0410062 32.246519 0.55369489 27.350718 11.976039 -29.397085 63.378973
1.7686962 27.880652 -1.2740243 32.218034 0.82149082 26.157826 13.934075 -28.834637 52.467904
1.7749794 28.003638 -3.9926445 32.25644 -0.69367431 27.369844 17.162454 -22.916417 64.237558
1.7812656 27.492193 -1.8020514 31.609021 -0.3722451 27.405431 11.297402 -27.843076 67.725117
